typology,space,feature,normal_median,tp_median,fn_median,TP_minus_FN_median,FN_minus_Normal_median
low_fund_utilization,model_space,cost_deviation_pct,0.47660864425283006,-1.7826377060757492,-1.7379681607606317,-0.044669545315117576,-2.2145768050134618
low_fund_utilization,model_space,physical_financial_gap,-0.21642567486512407,-0.3534188441216526,-0.26407445568794113,-0.08934438843371145,-0.047648780822817066
low_fund_utilization,model_space,avg_exp_per_payment,-0.2540894303287409,-0.35805773769500915,-0.6896490053868148,0.3315912676918057,-0.43555957505807397
low_fund_utilization,model_space,project_share_of_allocation,-0.27364196801309415,1.921233843832101,-0.36366342790257017,2.284897271734671,-0.09002145988947602
low_fund_utilization,model_space,project_exp_share_of_alloc,-0.27097981537400334,-0.6996197271046685,-0.7872659846602017,0.08764625755553324,-0.5162861692861984
low_fund_utilization,model_space,project_age_days,-0.11946634509332452,-0.726893698085436,-0.9449445427492709,0.21805084466383484,-0.8254781976559463
low_fund_utilization,model_space,expected_duration_days,-0.2922325198533361,-0.058713868848417866,-0.12617481247206092,0.06746094362364305,0.16605770738127518
low_fund_utilization,model_space,elapsed_duration_days,-0.1967182481706801,-0.1468999905170663,-0.7281129964758942,0.581213005958828,-0.5313947483052142
low_fund_utilization,model_space,schedule_progress_ratio,0.21548947939329074,-0.16123369651425146,-0.7094981640834034,0.5482644675691519,-0.9249876434766942
low_fund_utilization,model_space,days_overdue,-0.3627884726433232,-0.8894189655526233,-0.8894189655526233,0.0,-0.5266304929093002
low_fund_utilization,model_space,cost_vs_peer_ratio,-0.2578546232274032,2.3178107702438027,-0.25044343615792414,2.568254206401727,0.007411187069479075
low_fund_utilization,model_space,work_type_community_hall,0.0,0.0,0.0,0.0,0.0
low_fund_utilization,model_space,work_type_drainage,0.0,0.0,0.0,0.0,0.0
low_fund_utilization,model_space,work_type_road,0.0,0.0,0.0,0.0,0.0
low_fund_utilization,model_space,work_type_school,0.0,1.0,0.0,1.0,0.0
low_fund_utilization,model_space,work_type_water_supply,0.0,0.0,0.0,0.0,0.0
low_fund_utilization,model_space,status_completed,1.0,0.0,0.0,0.0,-1.0
low_fund_utilization,model_space,status_delayed,0.0,0.0,0.0,0.0,0.0
low_fund_utilization,model_space,status_in_progress,0.0,1.0,1.0,0.0,1.0
low_fund_utilization,model_space,status_sanctioned,0.0,0.0,0.0,0.0,0.0
duplicate_work,model_space,cost_deviation_pct,0.47660864425283006,,0.4528249861213133,,-0.023783658131516783
duplicate_work,model_space,physical_financial_gap,-0.21642567486512407,,-0.21529109913724728,,0.0011345757278767854
duplicate_work,model_space,avg_exp_per_payment,-0.2540894303287409,,-0.27389167826435007,,-0.019802247935609196
duplicate_work,model_space,project_share_of_allocation,-0.27364196801309415,,-0.4390755161895341,,-0.16543354817643996
duplicate_work,model_space,project_exp_share_of_alloc,-0.27097981537400334,,-0.5263035794168979,,-0.25532376404289453
